id,No_voie,type_de_voie,voie,surface_carrez,type_local,surface_reelle,nombre_pieces_principales,departement
18287,7.0,ALL,DE L AQUEDUC,"46,07",Appartement,46,2,78
18288,8.0,SQ,DES AUBADES,"67,6",Appartement,66,4,78
18289,5.0,AV,DE SAINT GERMAIN,"45,71",Appartement,46,2,78
18290,14.0,RUE,DE LORRAINE,"27,42",Appartement,28,1,78
18291,57.0,AV,DE SAINT GERMAIN,"27,01",Appartement,25,1,78
18292,6.0,AV,JEAN JAURES,"17,78",Appartement,20,1,78
18293,8.0,RUE,ALBERT CAMUS,"66,43",Appartement,68,4,78
18294,4.0,ALL,HELENE LAZAREFF,"89,41",Appartement,89,4,78
18295,1.0,RUE,MAETERLINCK,74,Appartement,74,3,78
18296,94.0,RUE,JEAN MERMOZ,"106,19",Appartement,105,5,78
18297,12.0,AV,AUGUSTE RENOIR,"65,51",Appartement,65,3,78
18298,6.0,AV,DE WAILLY,"23,62",Appartement,23,1,78
18299,15.0,RTE,DE CHATOU,"14,4",Appartement,14,1,78
18300,4.0,RUE,ERNEST RENAN,"21,4",Appartement,21,1,78
18301,12.0,RTE,DE SAINT NOM,"41,6",Appartement,42,1,78
18302,1.0,SQ,DES SABLONS,"81,16",Appartement,81,5,78
18303,7.0,SQ,DES SABLONS,"66,65",Appartement,66,4,78
18304,2.0,RUE,DE VERDUN,"54,17",Appartement,55,3,78
18305,2.0,QUAI,DE L AMIRAL MOUCHEZ,"75,16",Appartement,75,3,78
18306,57.0,AV,DE SAINT GERMAIN,111,Appartement,112,5,78
18307,16.0,AV,DU GRAND CANAL,"59,49",Appartement,59,3,78
18308,1.0,AV,MONTAIGNE,"56,83",Appartement,54,3,78
18309,1.0,RUE,DE L AMANDIER,"41,51",Appartement,50,1,78
18310,16.0,RUE,DE PARIS,"68,6",Appartement,68,3,78
18311,2.0,ALL,GOUNOD,"51,18",Appartement,53,2,78
18312,95.0,RUE,HOCHE,"61,22",Appartement,68,2,78
18313,22.0,RUE,LABELONYE,"60,68",Appartement,60,3,78
18314,15.0,RUE,MASSON,"37,89",Appartement,36,2,78
18315,163.0,AV,DES BAUGES,"44,39",Appartement,44,2,78
18316,15.0,AV,CREBILLON,"49,58",Appartement,49,2,78
18317,33.0,ALL,DES EPINES,"105,12",Appartement,105,5,78
18318,1.0,RUE,LAMARTINE,"14,67",Appartement,16,1,78
18319,159.0,AV,MAURICE BERTEAUX,"66,9",Appartement,66,3,78
18320,21.0,RUE,DU COLOMBIER,"22,61",Appartement,36,1,78
18321,17.0,RUE,DU CLOS DU PARC,"65,6",Appartement,66,3,78
18322,48.0,AV,JEAN JAURES,"47,16",Appartement,47,2,78
18323,4.0,RUE,GABRIEL PERI,"184,21",Maison,134,5,78
18324,3.0,RUE,MASSON,"64,78",Appartement,70,2,78
18325,10.0,BD,PAYMAL,"78,71",Maison,90,5,78
18326,3.0,RES,TROIS FORETS,"75,76",Appartement,74,4,78
18327,1.0,RUE,GUSTAVE CAILLEBOTTE,"60,04",Appartement,62,3,78
18328,12.0,RUE,DE PARIS,"26,15",Appartement,30,1,78
18329,31.0,RUE,LEBON,"66,87",Appartement,70,4,78
18330,159.0,BD,JEAN JAURES,"23,06",Appartement,25,2,78
18331,19.0,ALL,GRANDE TERRE,"82,11",Appartement,75,3,78
18332,86.0,AV,DES SABLONS,"49,52",Appartement,50,2,78
18333,14.0,RTE,DE LA FAISANDERIE,"63,5",Maison,61,3,78
18334,5.0,RUE,HENRY DE MONTHERLANT,"61,52",Appartement,62,3,78
18335,48.0,RUE,GAMBETTA,"64,09",Appartement,65,3,78
18336,22.0,RUE,DES EBISOIRES,"45,36",Appartement,46,2,78
18337,5.0,AV,DE SAINT GERMAIN,"44,36",Appartement,46,2,78
18338,17.0,PL,MAURICE BERTEAUX,"10,27",Appartement,15,1,78
18339,22.0,AV,GAMBETTA,"39,31",Appartement,35,1,78
18340,30.0,AV,GUY DE MAUPASSANT,"48,99",Appartement,49,2,78
18341,20.0,ALL,ARTHUR RIMBAUD,141,Maison,80,4,78
18342,9.0,RUE,DU CLOS DU PARC,"24,54",Appartement,24,1,78
18343,16.0,RUE,DU MARECHAL FOCH,"45,29",Appartement,28,2,78
18344,19.0,RUE,DE LA PRINCESSE,"47,65",Appartement,51,2,78
18345,3.0,RUE,DE LA FONTAINE ST MARTIN,"66,6",Appartement,67,3,78
18346,29.0,RUE,DES EBISOIRES,"71,73",Appartement,69,3,78
18347,78.0,RUE,DU MAL JOFFRE,"49,12",Appartement,45,3,78
18348,69.0,RUE,ANDRE LE BOURBLANC,"21,65",Maison,21,1,78
18349,18.0,RUE,ALEXANDRE DUMAS,"44,72",Appartement,45,2,78
18350,74.0,RUE,DU PETIT BOIS,"54,65",Appartement,46,2,78
18351,28.0,AV,FRANCOIS MANSART,"53,26",Appartement,54,3,78
18352,72.0,AV,DE SAINT GERMAIN,"49,86",Appartement,54,2,78
18353,27.0,RUE,ETIENNE PEROUX,"79,63",Appartement,80,3,78
18354,52.0,AV,DE LA REPUBLIQUE,"78,31",Appartement,79,4,78
18355,11.0,RUE,MAETERLINCK,53,Appartement,56,2,78
18356,2.0,RUE,PRESIDENT RENE COTY,"100,35",Appartement,85,3,78
18357,10.0,RUE,DE VISEU,"60,37",Appartement,60,3,78
18358,69.0,AV,AUGUSTE RENOIR,"71,58",Appartement,70,3,78
18359,2.0,AV,DU VAL NOTRE DAME,"61,85",Appartement,52,2,78
18360,40.0,RUE,DU PETIT BOIS,"82,23",Appartement,80,4,78
18361,9001.0,SQ,LE KAIN,"57,5",Appartement,57,4,78
18362,102.0,AV,JEAN MOULIN,"59,38",Appartement,60,3,78
18363,2.0,RES,LES FOUGERES,"82,01",Appartement,83,5,78
18364,20.0,RTE,DE CORMEILLES,33,Appartement,34,2,78
18365,16.0,AV,DE CIRCOURT,"120,3",Appartement,120,5,78
18366,28.0,RUE,DE LA FERRONNERIE,"70,42",Appartement,69,3,78
18367,2.0,RUE,SAINT MARTIN,"20,41",Appartement,24,1,78
18368,3.0,RUE,DE L AMANDIER,"34,79",Appartement,35,1,78
18369,10.0,AV,DE LA PRISE D EAU,"134,32",Maison,80,4,78
18370,3.0,RUE,ARISTIDE BRIAND,"47,07",Appartement,45,2,78
18371,1.0,,HAU DES MESANGES,"62,48",Appartement,65,3,78
18372,1.0,RUE,DU DOCTEUR ROCHEFORT,"69,93",Appartement,72,3,78
18373,59.0,RUE,DES COURLIS,"66,61",Maison,65,4,78
18374,35.0,AV,BELLEFORIERE,"56,29",Appartement,55,3,78
18375,12.0,RUE,ALEXANDRE DUMAS,"53,65",Appartement,47,3,78
18376,452.0,AV,DES SABLONS,"47,77",Appartement,48,2,78
18377,35.0,RUE,DES EBISOIRES,73,Appartement,73,3,78
18378,91.0,RUE,DE BEZONS,"45,55",Appartement,37,3,78
18379,54.0,RUE,HENRI PROU,"23,08",Appartement,26,1,78
18380,1.0,ALL,DE MONTFORT,"63,99",Appartement,64,3,78
18381,1.0,RUE,DU JEU DE PAUME,"63,96",Appartement,63,3,78
18382,1.0,RUE,GEORGES BERNANOS,"43,7",Appartement,43,2,78
18383,4.0,ALL,OCTAVE MIRBEAU,"95,99",Appartement,99,5,78
