Valeur fonciere,Code postal,Commune,Surface Carrez du 1er lot,Type local,Surface reelle bati,Nombre pieces principales
36000.0,2600.0,VILLERS-COTTERETS,21.4,Appartement,21,1
100789.0,2200.0,SOISSONS,49.46,Appartement,57,2
76280.0,2200.0,SOISSONS,45.12,Appartement,44,2
65000.0,2200.0,SOISSONS,68.95,Appartement,72,3
151000.0,2200.0,BELLEU,76.95,Appartement,76,3
134000.0,2200.0,SOISSONS,72.93,Appartement,72,2
56500.0,2200.0,SOISSONS,65.9,Appartement,64,3
47500.0,2200.0,SOISSONS,31.84,Appartement,32,2
44000.0,2600.0,VILLERS-COTTERETS,20.69,Appartement,23,1
41500.0,2200.0,SOISSONS,29.36,Appartement,33,1
95000.0,2600.0,VILLERS-COTTERETS,67.85,Appartement,54,3
87000.0,2600.0,VILLERS-COTTERETS,51.07,Appartement,42,3
53000.0,2200.0,SOISSONS,29.21,Appartement,30,1
36000.0,2200.0,SOISSONS,23.7,Appartement,25,1
70000.0,2200.0,SOISSONS,73.94,Appartement,75,3
169000.0,2600.0,COEUVRES ET VALSERY,93.89,Maison,110,6
148586.0,2200.0,SOISSONS,68.37,Appartement,67,3
140000.0,2200.0,SOISSONS,73.65,Appartement,73,3
45375.0,2200.0,SOISSONS,31.62,Appartement,32,1
55000.0,2400.0,CHATEAU THIERRY,60.2,Appartement,60,3
290000.0,2400.0,CHATEAU THIERRY,48.5,Appartement,54,3
110500.0,2400.0,CHATEAU THIERRY,57.74,Appartement,58,3
67000.0,2400.0,CHATEAU THIERRY,78.24,Appartement,75,4
43000.0,2130.0,FERE EN TARDENOIS,64.24,Appartement,64,3
111324.0,3000.0,MOULINS,34.46,Appartement,33,2
164000.0,3000.0,MOULINS,124.01,Appartement,77,3
131990.0,3000.0,MOULINS,34.9,Appartement,38,1
74169.0,3000.0,MOULINS,22.19,Appartement,22,1
106000.0,3000.0,MOULINS,83.87,Appartement,84,4
135000.0,3400.0,YZEURE,107.77,Maison,112,5
59500.0,3000.0,MOULINS,61.4,Appartement,60,4
108254.0,3400.0,YZEURE,128.8,Maison,85,5
45500.0,3400.0,YZEURE,58.46,Appartement,59,3
55000.0,3400.0,YZEURE,40.06,Appartement,40,2
41000.0,3000.0,MOULINS,78.3,Appartement,79,4
172200.0,3300.0,CUSSET,106.0,Appartement,105,5
100000.0,3200.0,VICHY,74.54,Appartement,80,3
96000.0,3200.0,VICHY,81.72,Appartement,79,3
153500.0,3200.0,VICHY,67.64,Appartement,67,4
35722.61,3200.0,VICHY,42.98,Appartement,47,2
26500.0,3200.0,VICHY,40.57,Appartement,45,2
84000.0,4200.0,SISTERON,105.71,Appartement,119,4
71000.0,4500.0,RIEZ,106.43,Appartement,133,4
38550.0,4400.0,ENCHASTRAYES,29.74,Appartement,31,1
118500.0,4160.0,CHATEAU-ARNOUX-SAINT-AUBAN,65.4,Appartement,66,3
196000.0,4000.0,DIGNE-LES-BAINS,144.6,Appartement,120,4
48000.0,4140.0,MONTCLAR,24.74,Appartement,24,1
43000.0,4200.0,SISTERON,32.89,Appartement,33,1
29800.0,4260.0,ALLOS,20.92,Appartement,20,1
175000.0,4120.0,CASTELLANE,93.76,Appartement,120,4
34000.0,4850.0,JAUSIERS,20.73,Appartement,20,1
40000.0,4340.0,LE LAUZET UBAYE,26.6,Appartement,27,2
42000.0,4140.0,SEYNE,40.0,Appartement,50,3
39735.0,4260.0,ALLOS,27.46,Appartement,26,1
105000.0,4000.0,DIGNE-LES-BAINS,51.42,Appartement,51,2
128690.0,4000.0,DIGNE-LES-BAINS,71.39,Maison,71,3
113330.0,4140.0,MONTCLAR,41.16,Appartement,49,2
300000.0,4500.0,SAINTE CROIX DU VERDON,65.5,Appartement,32,2
77000.0,4260.0,ALLOS,34.95,Appartement,35,2
75000.0,4400.0,FAUCON-DE-BARCELONNETTE,60.66,Appartement,52,3
33880.0,4400.0,ENCHASTRAYES,24.32,Appartement,25,1
